Tableau : Babeau Seguin;;;;;;
Colonne Zone depuis 05/07/24 : Bordeaux immo9;;;;;;
;;;;;;
;;Zones PTZ + au 1er octobre 2014;;;;
;;;;;;
N° Département;Département;Commune;Région;ZONE PTZ 2014;Zone depuis le 05 juillet 2024;Population
1;Ain;Chevroux;Rhône-Alpes;C;;952
1;Ain;Chevry;Rhône-Alpes;B1;;1320
1;Ain;Chézery-Forens;Rhône-Alpes;B2;;463
1;Ain;Civrieux;Rhône-Alpes;B2;;1424
1;Ain;Cize;Rhône-Alpes;C;;174
1;Ain;Cleyzieu;Rhône-Alpes;C;;140
1;Ain;Coligny;Rhône-Alpes;C;;1181
1;Ain;Collonges;Rhône-Alpes;A;;2012
1;Ain;Colomieu;Rhône-Alpes;C;;114
1;Ain;Conand;Rhône-Alpes;C;;107
1;Ain;Condamine;Rhône-Alpes;C;;439
1;Ain;Condeissiat;Rhône-Alpes;C;;781
1;Ain;Confort;Rhône-Alpes;B2;;556
1;Ain;Confrançon;Rhône-Alpes;C;;1221
1;Ain;Contrevoz;Rhône-Alpes;C;;555
1;Ain;Conzieu;Rhône-Alpes;C;;149
1;Ain;Corbonod;Rhône-Alpes;C;;1212
1;Ain;Corcelles;Rhône-Alpes;C;;257
1;Ain;Corlier;Rhône-Alpes;C;;124
1;Ain;Cormaranche-en-Bugey;Rhône-Alpes;C;;909
1;Ain;Cormoranche-sur-Saône;Rhône-Alpes;C;;1081
1;Ain;Cormoz;Rhône-Alpes;C;;652
1;Ain;Corveissiat;Rhône-Alpes;C;;629
1;Ain;Courmangoux;Rhône-Alpes;C;;514
1;Ain;Courtes;Rhône-Alpes;C;;278
1;Ain;Crans;Rhône-Alpes;C;;275
1;Ain;Cras-sur-Reyssouze;Rhône-Alpes;C;;1323
1;Ain;Cressin-Rochefort;Rhône-Alpes;C;;380
1;Ain;Crottet;Rhône-Alpes;C;;1772
1;Ain;Crozet;Rhône-Alpes;B1;;1989
1;Ain;Cruzilles-lès-Mépillat;Rhône-Alpes;C;;843
1;Ain;Culoz;Rhône-Alpes;C;;2978
1;Ain;Curciat-Dongalon;Rhône-Alpes;C;;461
1;Ain;Curtafond;Rhône-Alpes;C;;722
1;Ain;Cuzieu;Rhône-Alpes;C;;427
1;Ain;Dagneux;Rhône-Alpes;B1;;4234
1;Ain;Divonne-les-Bains;Rhône-Alpes;A;;8635
1;Ain;Dommartin;Rhône-Alpes;C;;869
1;Ain;Dompierre-sur-Chalaronne;Rhône-Alpes;C;;397
1;Ain;Dompierre-sur-Veyle;Rhône-Alpes;C;;1245
1;Ain;Domsure;Rhône-Alpes;C;;480
